weight;word;cat;
0,033920897;ужасный;-1;
0,032251203;весь;-1;
0,030612391;отличный;-1;
0,021529442;перестать;-1;
0,019833124;начать;-1;
0,019239891;смартфон;-1;
0,018561539;слабый;0;железо
0,01841693;сдать;-1;
0,017750631;вернуть;-1;
0,017277225;постоянно;-1;
0,017271423;ремонт;0;гарантия
0,017207414;плохой;-1;
0,017192785;разочаровать;-1;
0,016308101;отвратительный;-1;
0,016144529;включаться;-1;
0,015371194;камера;0;камера
0,015177708;супер;-1;
0,014329361;довольный;-1;
0,014184525;хороший;-1;
0,013632262;перезагрузка;-1;
0,013506571;невозможно;-1;
0,013432099;выключаться;-1;
0,012853452;отлично;-1;
0,012784283;обратно;-1;
0,012313018;ужасно;-1;
0,012236932;пользоваться;-1;
0,01082689;зависать;0;по
0,010826467;разочарование;-1;
0,010750311;отказать;-1;
0,010239517;ужас;-1;
0,010175202;обменять;-1;
0,009959141;плохо;-1;
0,009416492;позвонить;-1;
0,009166076;нерв;-1;
0,009106939;очень;-1;
0,00904467;пропадать;-1;
0,008809775;еле;-1;
0,008706278;отстой;-1;
0,008309731;сервис;0;гарантия
0,00810219;сырой;0;по
0,008003928;перезагружаться;0;по
0,007851383;сдавать;-1;
0,007834717;гарантия;0;гарантия
0,007796081;половина;-1;
0,007709173;начаться;-1;
0,007444644;тихий;0;звук
0,007255609;рука;-1;
0,007137257;отключаться;-1;
0,007113774;классный;-1;
0,007107381;неудобный;0;дизайн
0,006952265;менять;-1;
0,006878977;жутко;-1;
0,006849578;нравиться;-1;
0,006527218;отклеиться;0;сборка
0,006193522;сломаться;-1;
0,006023624;понести;-1;
0,005732004;глючить;0;по
0,005620294;гарантийный;0;гарантия
0,005471262;умереть;-1;
0,005470185;отнести;-1;
0,005429279;яркий;0;экран
0,005301618;перезагружать;0;по
0,005214207;качество;0;сборка
0,005145157;тупой;0;железо
0,004931495;самопроизвольно;0;по
0,00491652;проработать;-1;
0,004676371;понравиться;-1;
0,004667058;удобный;-1;
0,004660196;вздуться;0;сборка
0,004508614;центр;-1;
0,004488645;водонепроницаемость;0;сборка
0,004114219;фигня;-1;
0,003635081;включиться;-1;
0,003589806;отклеиваться;0;сборка
0,003096809;удобно;-1;
0,003075168;порадовать;-1;
0,003070951;разговор;-1;
0,002987862;завтра;-1;
0,002965016;треснуть;-1;
0,002937167;достаток;-1;
0,002855689;мощный;0;железо
0,00285201;месяц;-1;
0,002678492;пытаться;-1;
0,00264112;год;0;новизна
0,002582849;класс;-1;
0,002582776;леново;-1;
0,002540612;подлежать;-1;
0,002536065;минута;-1;
0,002471107;проблематично;-1;
0,00244289;дозвон;-1;
0,002434396;небыть;-1;
0,002420508;цена;0;цена
0,002395985;желей;-1;
0,002364491;поменять;-1;
0,002358249;помогать;-1;
0,002340122;конструкция;0;дизайн
0,002308931;начинать;-1;
0,002304759;летать;-1;
0,00222308;брак;-1;
0,002215662;радовать;-1;
0,002197993;качественный;0;сборка
0,002191001;причина;-1;
0,00208917;бред;-1;
0,002077874;маленький;0;экран
0,002066139;пожалеть;-1;
0,002002424;минус;-1;
0,001958203;достойный;-1;
0,001947829;неудобно;-1;
0,001946;аппарат;-1;
0,001929715;дизайн;0;дизайн
0,001901575;материнский;-1;
0,001898763;периодически;-1;
0,001853303;зима;-1;
0,001800581;батареие;0;батарея
0,001786306;дисплей;0;экран
0,001775331;быстро;0;железо
0,001768408;заполняться;-1;
0,00173692;это;-1;
0,001699497;сеть;-1;
0,001664906;gps;-1;
0,001656675;неделя;-1;
0,001604839;дозвониться;-1;
0,001585986;музыка;-1;
0,001555608;сразу;-1;
0,001497796;приятный;-1;
0,001459075;увы;-1;
0,001441185;акер;-1;
0,001407801;дважды;-1;
0,001405372;подогрев;-1;
0,001395054;сброс;-1;
0,001378501;дыхание;-1;
0,001361803;который;-1;
0,001360013;правда;-1;
0,001356391;совет;-1;
0,001289495;браковать;-1;
0,001274304;режим;-1;
0,001246141;спорить;-1;
0,001233879;опера;-1;
0,001222367;купитьный;-1;
0,001217712;ти;-1;
0,001205378;регулярно;-1;
0,001182446;аналогичный;-1;
0,001141824;клавиатура;-1;
0,001127631;сервисный;-1;
0,00111335;думать;-1;
0,001099395;батарея;0;батарея
0,001095136;часто;-1;
0,001090987;фуфть;-1;
0,001067584;обнаружить;-1;
0,001051579;настройка;-1;
0,00103863;царапина;0;сборка
0,001022932;создаваться;-1;
0,000969829;подтверждение;-1;
0,000966995;отправлять;-1;
0,000935846;целое;-1;
0,000932004;проскальзывать;0;дизайн
0,000929589;история;-1;
0,000917084;вначале;-1;
0,000880061;найти;-1;
0,000867017;час;-1;
0,000855021;gb;0;память
0,000808186;рекомендовать;-1;
0,000802904;телефон;-1;
0,000795923;приложение;-1;
0,000791187;градус;-1;
0,000789878;включение;-1;
0,000785439;вечер;-1;
0,000784162;бок;-1;
0,000783501;бизнес;-1;
0,000783411;дать;-1;
0,000779843;ура;-1;
0,000776845;полгода;-1;
0,000743796;ответ;-1;
0,000740401;sumbian;-1;
0,000736537;гиго;0;память
0,000732746;др;-1;
0,00073048;главный;-1;
0,00072312;лежать;-1;
0,000716552;экран;0;экран
0,000714864;бесить;-1;
0,000706614;блёклый;0;экран
0,000685419;смарт;-1;
0,000679803;ничто;-1;
0,000678415;далёкий;-1;
0,000665693;улететь;-1;
0,000663495;клавиш;-1;
0,000649022;ноль;-1;
0,000620735;молчать;-1;
0,000613274;случиться;-1;
0,000606862;чаща;-1;
0,000598335;обратиться;-1;
0,000589592;куча;-1;
0,00057914;раскачка;-1;
0,000576822;карта;-1;
0,000575745;аська;-1;
0,00056829;отказываться;-1;
0,000567853;ксенон;0;камера
0,000565956;магазин;-1;
0,000556789;толк;-1;
0,000552229;раздел;-1;
0,000551639;пойти;-1;
0,000550634;симка;-1;
0,000540367;счастие;-1;
0,000498978;остаться;-1;
0,00049067;мучить;-1;
0,000483989;стать;-1;
0,000480517;вскрывать;-1;
0,000469242;глюк;0;по
0,000459251;главное;-1;
0,000458028;выбор;-1;
0,000456991;обещать;-1;
0,00042834;телефонный;-1;
0,000427875;недостаток;-1;
0,000420387;наличие;-1;
0,000415416;legend;-1;
0,000414426;спокойно;-1;
0,000411786;программа;-1;
0,000404051;gsm;-1;
0,000403872;шустрый;0;железо
0,000383862;давность;-1;
0,000372509;человек;-1;
0,000370452;надёжный;0;гарантия
0,00036318;перезагрузить;-1;
0,000361524;раскрутить;-1;
0,000357249;звук;0;звук
0,000355811;тач;0;экран
0,000337534;тк;-1;
0,000333734;сторона;-1;
0,000314765;прийтись;-1;
0,000311747;именно;-1;
0,000290648;меню;-1;
0,00028485;новый;0;новизна
0,000270209;хотеть;-1;
0,0002689;создать;-1;
0,000268872;самостоятельно;-1;
0,000266622;полностью;-1;
0,000243441;мобильный;-1;
0,000243081;устанавливать;-1;
0,000239599;ровно;-1;
0,000233302;заморочка;-1;
0,000224021;купить;-1;
0,000191543;тупить;0;железо
0,000184636;рубль;-1;
0,000179329;наушник;0;звук
0,000178173;изз;-1;
0,000166081;стекло;0;дизайн
0,000164239;время;-1;
0,000163706;сначала;-1;
0,000163634;интернет;-1;
0,000152158;честно;-1;
0,000150787;ждать;-1;
0,000150743;замена;-1;
0,000128657;фото;0;камера
0,000116117;идти;-1;
0,000115437;интерфейс;0;по
0,000114555;ещё;-1;
0,000109677;нажатие;-1;
0,000108035;больший;-1;
0,000103219;пока;-1;
0,000102526;стильный;0;дизайн
9,86257E-05;ожидать;-1;
8,69241E-05;боковой;-1;
6,45656E-05;динамика;-1;
6,00932E-05;мочь;-1;
4,19919E-05;единственный;-1;
3,56451E-05;работать;-1;
3,40276E-05;поставить;-1;
2,4534E-05;худой;-1;
2,22092E-05;выносить;-1;
2,15261E-05;левый;-1;
1,3181E-05;момент;-1;
1,23111E-05;redmi;-1;
6,51205E-06;дребезжание;-1;
4,94626E-06;платформа;0;по
1,32042E-06;вариант;-1;
7,87646E-07;запустить;-1;
4,79108E-07;деньга;0;цена
4,45865E-08;причём;-1;
1,96734E-08;следующий;-1;
3,07412E-09;ядро;0;железо